time,Year,Month,Day,pr
1986-09-15,1986,9,15,0.014081597
1986-09-16,1986,9,16,0.119656324
1986-09-17,1986,9,17,0.11262298
1986-09-18,1986,9,18,0.5701184
1986-09-19,1986,9,19,1.6540289
1986-09-20,1986,9,20,0.7953495
1986-09-21,1986,9,21,1.23173
1986-09-22,1986,9,22,3.0194669
1986-09-23,1986,9,23,3.8148165
1986-09-24,1986,9,24,14.1189995
1986-09-25,1986,9,25,2.7872026
1986-09-26,1986,9,26,3.244698
1986-09-27,1986,9,27,10.473117
1986-09-28,1986,9,28,20.925104
1986-09-29,1986,9,29,2.4634452
1986-09-30,1986,9,30,1.9586235
1986-10-01,1986,10,1,2.6779027
1986-10-02,1986,10,2,8.614659
1986-10-03,1986,10,3,8.8747
1986-10-04,1986,10,4,15.641392
1986-10-05,1986,10,5,10.263458
1986-10-06,1986,10,6,4.951909
1986-10-07,1986,10,7,10.72821
1986-10-08,1986,10,8,17.389774
1986-10-09,1986,10,9,8.575932
1986-10-10,1986,10,10,25.94912
1986-10-11,1986,10,11,12.271881
1986-10-12,1986,10,12,12.188896
1986-10-13,1986,10,13,9.920418
1986-10-14,1986,10,14,15.702263
1986-10-15,1986,10,15,10.971665
1986-10-16,1986,10,16,12.271881
1986-10-17,1986,10,17,7.5136275
1986-10-18,1986,10,18,10.064274
1986-10-19,1986,10,19,8.542731
1986-10-20,1986,10,20,2.3293347
1986-10-21,1986,10,21,8.891299
1986-10-22,1986,10,22,2.8494148
1986-10-23,1986,10,23,0.33196807
1986-10-24,1986,10,24,4.7693253
1986-10-25,1986,10,25,5.864829
1986-10-26,1986,10,26,3.8840623
1986-10-27,1986,10,27,10.706082
1986-10-28,1986,10,28,9.306267
1986-10-29,1986,10,29,14.258176
1986-10-30,1986,10,30,6.3019247
1986-10-31,1986,10,31,4.8749895
1986-11-01,1986,11,1,8.095354
1986-11-02,1986,11,2,2.3041666
1986-11-03,1986,11,3,5.175829
1986-11-04,1986,11,4,8.779094
