time,Year,Month,pr
2039-11-30,2039,11,259.4881368800998
2039-12-31,2039,12,164.05349811539054
2040-01-31,2040,1,139.20826725661755
2040-02-29,2040,2,110.93454714864492
2040-03-31,2040,3,178.03411278873682
2040-04-30,2040,4,226.37975933030248
2040-05-31,2040,5,166.9461247511208
2040-06-30,2040,6,145.03188282251358
2040-07-31,2040,7,130.00243306159973
2040-08-31,2040,8,225.89156795293093
2040-09-30,2040,9,154.9213961698115
2040-10-31,2040,10,317.47822668403387
2040-11-30,2040,11,188.1084345281124
2040-12-31,2040,12,135.45389212667942
2041-01-31,2041,1,68.25383920222521
2041-02-28,2041,2,149.44176636636257
2041-03-31,2041,3,149.2450011894107
2041-04-30,2041,4,185.62595956027508
2041-05-31,2041,5,118.93269829452038
2041-06-30,2041,6,107.40029755979776
2041-07-31,2041,7,109.34129236266017
2041-08-31,2041,8,119.17747668921947
2041-09-30,2041,9,117.91814435273409
2041-10-31,2041,10,394.0537844784558
2041-11-30,2041,11,165.217140968889
2041-12-31,2041,12,113.67223095148802
2042-01-31,2042,1,99.05065465718532
2042-02-28,2042,2,135.8281860128045
2042-03-31,2042,3,160.85470486432314
2042-04-30,2042,4,253.77827044576406
2042-05-31,2042,5,181.91036665812135
2042-06-30,2042,6,65.38140457123518
2042-07-31,2042,7,91.87981747090816
2042-08-31,2042,8,104.8474146053195
2042-09-30,2042,9,114.05673651024699
2042-10-31,2042,10,289.51772656291723
2042-11-30,2042,11,241.14292860031128
2042-12-31,2042,12,90.94974808394909
2043-01-31,2043,1,125.48154629766941
2043-02-28,2043,2,160.2898769080639
